"BehaviorSpace results (NetLogo 6.2.2)"
"bee.nlogo"
"experiment1"
"03/09/2023 10:01:01:810 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-75","75","-75","75"
"[run number]","food","[step]","count bees"
"9","1150","16424","0"
"2","1150","16424","0"
"3","1150","16424","0"
"1","1150","16424","0"
"4","1150","16424","11"
"8","1150","16424","0"
"5","1150","16424","0"
"6","1150","16424","0"
"10","1150","16424","0"
"7","1150","16424","27"
"16","1150","16424","0"
"17","1150","16424","0"
"18","1150","16424","0"
"12","1150","16424","127"
"13","1150","16424","8"
"20","1150","16424","0"
"14","1150","16424","0"
"11","1150","16424","0"
"15","1150","16424","0"
"19","1150","16424","0"
"22","1150","16424","0"
"24","1150","16424","0"
"26","1150","16424","0"
"21","1150","16424","53"
"23","1150","16424","0"
"28","1150","16424","0"
"30","1150","16424","0"
"25","1150","16424","0"
"27","1150","16424","0"
"29","1150","16424","0"
"34","1150","16424","0"
"32","1150","16424","17"
"35","1150","16424","0"
"31","1150","16424","0"
"33","1150","16424","24"
"36","1150","16424","0"
"39","1150","16424","0"
"38","1150","16424","0"
"37","1150","16424","27"
"46","1150","16424","0"
"40","1150","16424","24"
"41","1150","16424","0"
"42","1150","16424","0"
"43","1150","16424","47"
"44","1150","16424","0"
"45","1150","16424","0"
"47","1150","16424","0"
"48","1150","16424","0"
"52","1150","16424","0"
"56","1150","16424","0"
"57","1150","16424","0"
"49","1150","16424","0"
"50","1150","16424","0"
"51","1150","16424","63"
"53","1150","16424","0"
"54","1150","16424","0"
"58","1150","16424","0"
"55","1150","16424","0"
"60","1150","16424","0"
"63","1150","16424","0"
"64","1150","16424","0"
"65","1150","16424","0"
"66","1150","16424","0"
"59","1150","16424","0"
"61","1150","16424","38"
"67","1150","16424","0"
"62","1150","16424","0"
"70","1150","16424","0"
"73","1150","16424","0"
"74","1150","16424","0"
"69","1150","16424","0"
"68","1150","16424","0"
"71","1150","16424","0"
"75","1150","16424","0"
"78","1150","16424","0"
"72","1150","16424","44"
"77","1150","16424","0"
"79","1150","16424","0"
"76","1150","16424","92"
"82","1150","16424","0"
"80","1150","16424","0"
"85","1150","16424","0"
"81","1150","16424","0"
"83","1150","16424","0"
"84","1150","16424","0"
"86","1150","16424","0"
"91","1150","16424","0"
"94","1150","16424","0"
"87","1150","16424","75"
"88","1150","16424","0"
"90","1150","16424","1"
"89","1150","16424","18"
"95","1150","16424","0"
"93","1150","16424","0"
"92","1150","16424","0"
"100","1150","16424","0"
"97","1150","16424","0"
"99","1150","16424","0"
"96","1150","16424","0"
"98","1150","16424","0"
